Generation,Avg_Pollen,Avg_Dance_Prob,Avg_Radius,Misguided_Trips
0,1.2,0.49266120171151395,5.417173896612509,416
1,5.2,0.5325854096909723,5.505395083026839,461
2,7.2,0.5504477385738717,6.003665901383123,766
3,8.8,0.5460943621057711,5.626627725915754,921
4,5.3,0.5606409082342779,5.6807069256958105,442
5,4.5,0.5492810675933945,5.387694408148687,659
6,4.9,0.5406012437837429,5.37132921280139,514
7,5.6,0.540766601315364,5.291911465473171,514
8,0.5,0.5354949366557588,5.412543945127237,146
9,4.0,0.5461305919826343,5.320480583843721,508
